(
(
 ((branca quadrada alta oca) (preta quadrada baixa cheia)  0 (preta quadrada alta oca))
 ((branca redonda alta oca) (preta redonda alta oca) (branca redonda alta cheia) 0)
 (0 (preta redonda alta cheia) (preta redonda baixa cheia) 0)
 ((branca redonda baixa oca) (branca quadrada alta cheia) (preta redonda baixa oca) (branca quadrada baixa cheia))
)
(
 (preta quadrada alta cheia)
 (preta quadrada baixa oca)
 (branca redonda baixa cheia)
 (branca quadrada baixa oca)
)
)

(
(
 ((branca quadrada alta oca) (preta redonda baixa oca) (preta quadrada alta oca) (branca quadrada alta cheia))
 ((branca redonda alta oca) 0 (branca redonda alta cheia) 0)
 ((preta quadrada baixa cheia) (preta redonda alta cheia) (branca quadrada baixa oca) 0)
 ( (preta quadrada baixa oca) 0 (branca quadrada baixa cheia) 0)
)
(
 (branca redonda baixa oca)
 (preta redonda baixa cheia)
 (preta redonda alta oca)
 (preta quadrada alta cheia)
 (branca redonda baixa cheia)
)
)

(
(
 ((branca quadrada baixa cheia) 0 (preta redonda alta cheia) (preta quadrada baixa oca))
 (0 0 0 (branca redonda baixa oca))
 ((branca redonda alta cheia) 0 (preta redonda alta oca) 0)
 (0 (preta quadrada baixa cheia) 0 0)
)
(
 (branca quadrada alta cheia)
 (branca quadrada alta oca)
 (branca quadrada baixa oca)
 (preta quadrada alta cheia)
 (preta quadrada alta oca)
 (branca redonda alta oca)
 (branca redonda baixa cheia)
 (preta redonda baixa cheia)
 (preta redonda baixa oca)
)
)

(
(
 ((branca quadrada baixa cheia) (branca redonda alta cheia) (preta redonda alta cheia) (preta quadrada baixa oca))
 (0 0 0 0)
 (0 0 0 0)
 (0 0 0 0)
)
(
 (branca quadrada alta cheia)
 (branca quadrada baixa oca)
 (preta quadrada alta cheia)
 (preta quadrada alta oca)
 (preta quadrada baixa cheia)
 (branca redonda baixa oca)
 (branca redonda alta oca)
 (branca redonda baixa cheia)
 (preta redonda alta oca)
 (preta redonda baixa cheia)
)
)

(
(
 (0 0 0 0)
 (0 0 0 0)
 (0 0 (preta redonda alta oca) 0)
 (0 0 0 0)
)
( 
 (branca quadrada alta cheia)
 (branca quadrada alta oca)
 (branca quadrada baixa oca)
 (branca quadrada baixa cheia)
 (preta quadrada alta cheia)
 (preta quadrada alta oca)
 (preta quadrada baixa oca)
 (preta quadrada baixa cheia)
 (branca redonda alta cheia)
 (branca redonda alta oca)
 (branca redonda baixa cheia)
 (branca redonda baixa oca)
 (preta redonda alta cheia)
 (preta redonda baixa cheia)
 (preta redonda baixa oca)
)
)

(
(
 (0 0 0 0)
 (0 0 0 0)
 (0 0 0 0)
 (0 0 0 0)
)
(
 (branca quadrada alta cheia)
 (branca quadrada alta oca)
 (branca quadrada baixa oca)
 (branca quadrada baixa cheia)
 (preta quadrada alta cheia)
 (preta quadrada alta oca)
 (preta quadrada baixa oca)
 (preta quadrada baixa cheia)
 (branca redonda alta cheia)
 (branca redonda alta oca)
 (branca redonda baixa cheia)
 (branca redonda baixa oca)
 (preta redonda alta cheia)
 (preta redonda alta oca)
 (preta redonda baixa cheia)
 (preta redonda baixa oca)
)
)
